GCF_004170045.1	ASM417004v1	Legionella pneumophila
GCF_004170065.1	ASM417006v1	Legionella pneumophila
GCF_004170085.1	ASM417008v1	Legionella pneumophila
GCF_004170095.1	ASM417009v1	Legionella pneumophila
GCF_004170105.1	ASM417010v1	Legionella pneumophila
GCF_004170125.1	ASM417012v1	Legionella pneumophila
GCF_004170165.1	ASM417016v1	Legionella pneumophila
GCF_004170185.1	ASM417018v1	Legionella pneumophila
GCF_004170195.1	ASM417019v1	Legionella pneumophila
GCF_004170215.1	ASM417021v1	Legionella pneumophila
GCF_004170225.1	ASM417022v1	Legionella pneumophila
GCF_004170265.1	ASM417026v1	Legionella pneumophila
GCF_004170285.1	ASM417028v1	Legionella pneumophila
GCF_004170305.1	ASM417030v1	Legionella pneumophila
GCF_004170315.1	ASM417031v1	Legionella pneumophila
GCF_004170325.1	ASM417032v1	Legionella pneumophila
GCF_004170355.1	ASM417035v1	Legionella pneumophila
GCF_004170385.1	ASM417038v1	Legionella pneumophila
GCF_004170395.1	ASM417039v1	Legionella pneumophila
GCF_004170415.1	ASM417041v1	Legionella pneumophila
GCF_004283175.1	ASM428317v1	Legionella longbeachae
GCF_004564155.1	ASM456415v1	Legionella israelensis
GCF_004571175.1	ASM457117v1	Legionella israelensis
GCF_004571195.1	ASM457119v1	Legionella geestiana
GCF_004766445.2	ASM476644v2	Legionella geestiana
GCF_004920375.1	ASM492037v1	Legionella taurinensis
GCF_004920385.1	ASM492038v1	Legionella taurinensis
GCF_004920395.1	ASM492039v1	Legionella pneumophila
GCF_004920415.1	ASM492041v1	Legionella taurinensis
GCF_004920475.1	ASM492047v1	Legionella taurinensis
GCF_004920485.1	ASM492048v1	Legionella taurinensis
GCF_004920495.1	ASM492049v1	Legionella taurinensis
GCF_004920515.1	ASM492051v1	Legionella pneumophila
GCF_004920555.1	ASM492055v1	Legionella pneumophila
GCF_004920575.1	ASM492057v1	Legionella pneumophila
GCF_004920585.1	ASM492058v1	Legionella pneumophila
GCF_004920605.1	ASM492060v1	Legionella pneumophila
GCF_004920645.1	ASM492064v1	Legionella pneumophila
GCF_004920665.1	ASM492066v1	Legionella pneumophila
GCF_004920675.1	ASM492067v1	Legionella pneumophila
GCF_004920705.1	ASM492070v1	Legionella pneumophila
GCF_004920715.1	ASM492071v1	Legionella pneumophila
GCF_004920765.1	ASM492076v1	Legionella pneumophila
GCF_004920775.1	ASM492077v1	Legionella pneumophila
GCF_004920815.1	ASM492081v1	Legionella pneumophila
GCF_004920825.1	ASM492082v1	Legionella pneumophila
GCF_004920885.1	ASM492088v1	Legionella pneumophila
GCF_004920895.1	ASM492089v1	Legionella pneumophila
